"number","ampr_nb","tumbon_nb","ampr_main_nb","tumbon_main_nb"
771,"12","03","31","01"
2,"12","04","15","04"
8,"12","04","17","02"
454,"12","04","31","01"
1,"12","04","37","02"
1,"13","01","18","02"
13,"13","01","31","01"
2,"13","01","20","04"
1,"13","01","33","03"
767,"13","01","08","02"
12,"14","01","32","01"
2,"14","01","07","03"
3,"14","01","31","01"
2,"14","01","35","03"
30,"14","01","37","01"
13,"14","01","37","02"
28,"14","01","41","01"
1,"14","01","02","02"
106,"14","01","08","02"
4,"15","05","24","02"
1,"15","01","07","03"
4,"15","01","17","02"
668,"15","01","18","02"
2,"15","01","20","04"
15,"15","01","23","02"
2,"15","01","31","01"
1,"15","01","33","03"
2,"15","01","37","02"
1,"15","01","40","03"
1,"15","04","04","02"
5,"15","04","04","05"
37,"15","04","15","04"
38,"15","04","15","05"
4,"15","04","19","02"
1,"15","04","21","05"
39,"15","04","21","07"
8,"15","04","22","08"
4,"15","04","23","02"
7,"15","04","24","01"
10,"15","04","28","01"
1,"15","04","31","03"
2,"15","04","34","01"
53,"15","04","35","02"
6,"15","04","48","01"
11,"15","04","49","02"
19,"15","04","50","01"
4,"15","05","15","04"
89,"15","05","31","01"
2,"15","05","35","02"
7,"15","04","18","03"
3,"15","01","08","02"
3,"15","01","15","04"
1,"15","01","24","02"
1,"15","04","07","02"
1,"15","04","07","04"
1,"15","04","12","03"
20,"15","04","15","01"
3,"15","04","16","01"
4,"15","04","17","01"
1,"15","04","17","04"
660,"15","04","18","02"
18,"15","04","22","01"
4,"15","04","24","02"
1,"15","04","26","01"
2,"15","04","31","01"
1,"15","04","37","02"
8,"15","04","40","04"
3,"15","04","49","01"
1,"15","05","04","02"
1,"15","05","08","02"
525,"15","05","18","02"
4,"15","05","20","04"
1,"15","05","40","03"
1131,"16","01","18","02"
3,"16","01","31","01"
1,"16","01","35","03"
2,"16","01","37","01"
4,"16","01","08","02"
1,"16","01","24","02"
1,"16","01","40","03"
703,"16","01","20","04"
4,"17","01","42","03"
2,"17","01","04","02"
19,"17","01","07","03"
21,"17","01","32","01"
6,"17","01","34","01"
4,"17","04","07","03"
14,"17","04","17","02"
3,"17","04","20","04"
1,"17","04","24","02"
90,"17","04","32","01"
1,"17","04","33","03"
42,"17","04","37","01"
3,"17","04","18","02"
5,"17","01","08","02"
38,"17","01","17","02"
34,"17","01","37","01"
4,"17","04","08","02"
2,"17","04","15","04"
1,"17","04","31","01"
8,"17","04","34","01"
7,"17","04","37","02"
4,"17","04","41","01"
11,"17","04","43","01"
2,"18","03","07","03"
429,"18","03","18","02"
2,"18","03","08","02"
1,"18","03","24","02"
1,"18","03","37","01"
2,"18","03","04","02"
2,"18","03","31","01"
3,"18","03","40","03"
1,"18","03","42","03"
2100,"19","02","20","04"
4,"19","02","08","02"
1,"19","02","20","06"
1,"19","02","30","01"
7,"19","02","34","01"
2,"19","02","23","02"
12,"19","02","02","02"
618,"19","02","18","02"
4,"19","02","31","01"
1,"19","02","37","01"
4,"19","02","40","03"
5,"21","07","15","04"
12,"21","07","31","01"
10,"21","07","35","03"
2,"21","07","37","01"
5,"21","07","08","02"
